stage,specification,tv_definition,report_timing,outcome_or_test,estimate_pp,std_error_pp,ci_low_pp,ci_high_pp,p_value,adjusted_q_bh,n,test_statistic,paper_role,interpretation_note
Main extensive margin,"Player + team-season FE, full controls, player+game clustered",legacy_primary,latest_pre_tip,new_absence_onset,3.14925625567831,1.31564272555179,0.5705965135968,5.72791599775982,0.0166793068180634,,180695,,inferential anchor,Original advance-announced TV definition; primary stronger FE specification.
TV harmonization,Same preferred FE/controls with harmonized linear national-TV,harmonized_linear,latest_pre_tip,new_absence_onset,1.7746566172121114,1.313416621212169,-0.7996399603637395,4.348953194787962,0.1766391580366461,,180695,,mandatory sensitivity,Point estimate remains positive but loses precision.
Cadence harmonization,"Common 1:30/5:30/8:30 ET report timing, preferred FE/controls",legacy_primary,harmonized_common_times,new_absence_onset,2.6304485901569383,1.3187240875355293,0.0457493785873012,5.215147801726576,0.0460764656930466,,180530,,mandatory measurement sensitivity,Outcome/risk set rebuilt upstream from common-time injury-report snapshots.
Cadence harmonization,"Common 1:30/5:30/8:30 ET report timing, preferred FE/controls",harmonized_linear,harmonized_common_times,new_absence_onset,1.2389703651133357,1.3186981358830614,-1.3456779812174648,3.823618711444136,0.3474532856699015,,180530,,mandatory measurement sensitivity,Outcome/risk set rebuilt upstream from common-time injury-report snapshots.
Sample sensitivity,"Exclude 2025-26, player + team-season FE",legacy_primary,latest_pre_tip,new_absence_onset,2.7275858916962448,1.36677202414249,0.0487127243769643,5.406459059015526,0.0459730450354136,,150068,,robustness,Checks media-rights expansion season.
COVID sensitivity,Exclude 2020-21 and 2021-22,legacy_primary,latest_pre_tip,new_absence_onset,3.839436870107545,1.657299794709327,0.5911292724772643,7.087744467737826,0.0205210520250865,,123603,,robustness,Removes the two most pandemic-affected seasons.
COVID sensitivity,Exclude 2020-21 and 2021-22,harmonized_linear,latest_pre_tip,new_absence_onset,2.41419823370162,1.727946487926994,-0.9725768826352889,5.800973350038528,0.1623688518723974,,123603,,robustness,Removes the two most pandemic-affected seasons.
Trend sensitivity,Player-specific linear trends,legacy_primary,latest_pre_tip,new_absence_onset,3.258197085503505,1.3201941761503402,0.6706165002488385,5.845777670758172,0.0135882436145497,,180695,,robustness,Allows each player a distinct linear availability trend.
Trend sensitivity,Player-specific linear trends,harmonized_linear,latest_pre_tip,new_absence_onset,2.1505047533629997,1.3206351755518548,-0.4379401907186362,4.738949697444634,0.1034429162859858,,180695,,robustness,Allows each player a distinct linear availability trend.
Identification diagnostic,Joint pre-trend test: 2020-21 and 2021-22 vs 2022-23,legacy_primary,latest_pre_tip,pretrend_joint_test,,,,,0.4327419818929178,,180695,"chi2=1.675, df=2",diagnostic,Failure to reject is supportive but does not prove parallel trends.
Identification diagnostic,Stratified game-level TV permutation placebo (99 draws),legacy_primary,latest_pre_tip,permutation_placebo,3.153331647222192,,,,0.09,,180695,"perm_mean_pp=0.266, perm_sd_pp=1.672",diagnostic warning,"Randomization-style placebo only; TV assignment is observational, not an exact Fisher test."
Identification diagnostic,Joint pre-trend test: 2020-21 and 2021-22 vs 2022-23,harmonized_linear,latest_pre_tip,pretrend_joint_test,,,,,0.4325017519794563,,180695,"chi2=1.676, df=2",diagnostic,Failure to reject is supportive but does not prove parallel trends.
Identification diagnostic,Stratified game-level TV permutation placebo (99 draws),harmonized_linear,latest_pre_tip,permutation_placebo,1.7794064259697258,,,,0.26,,180695,"perm_mean_pp=0.124, perm_sd_pp=1.731",diagnostic warning,"Randomization-style placebo only; TV assignment is observational, not an exact Fisher test."
Identification diagnostic,Fake PPP start in pre-period: 2021-22,legacy_primary,latest_pre_tip,placebo_policy_date,2.083400714188154,1.7977517109301355,-1.4401926392349125,5.606994067611221,0.2465000654675172,,87787,,diagnostic,Pre-policy placebo timing test.
Identification diagnostic,Fake PPP start in pre-period: 2022-23,legacy_primary,latest_pre_tip,placebo_policy_date,0.15562320938708,1.8300096352807524,-3.431195675763195,3.7424420945373535,0.9322299423529588,,87787,,diagnostic,Pre-policy placebo timing test.
Mechanism,"Conditional vague vs specific LPM, baseline FE/controls",legacy_primary,latest_pre_tip,vague_vs_specific_conditional,-8.416720679962859,7.92847960295119,-23.95654070174719,7.1230993418214705,0.2884260933964732,,6256,,mechanism test,No detectable shift toward vague labels; estimate is negative and imprecise.
Mechanism,"Conditional vague vs specific, player + team-season FE",legacy_primary,latest_pre_tip,vague_vs_specific_conditional,-7.181229442366099,8.30678706941054,-23.46253209841076,9.10007321367855,0.3873124857208618,,6256,,mechanism robustness,Stronger FE version remains null.
Nonlinear robustness,Penalized high-dimensional logit; probability-scale DDD,legacy_primary,latest_pre_tip,new_absence_onset_logit,2.440028376624094,,,,,,180695,OR=1.471,functional-form check,No inferential p-value used; frozen clustered LPM remains inferential anchor.
Nonlinear robustness,Penalized high-dimensional logit; probability-scale DDD,harmonized_linear,latest_pre_tip,new_absence_onset_logit,0.8271277966067004,,,,,,180695,OR=1.099,functional-form check,No inferential p-value used; frozen clustered LPM remains inferential anchor.
Nonlinear robustness,Penalized logit; conditional vague vs specific,legacy_primary,latest_pre_tip,vague_vs_specific_logit,-5.417689535691139,,,,,,6256,OR=0.738,functional-form check,No inferential p-value used; direction remains negative.
Nonlinear robustness,Penalized logit; conditional vague vs specific,harmonized_linear,latest_pre_tip,vague_vs_specific_logit,-4.432835828041859,,,,,,6256,OR=0.781,functional-form check,No inferential p-value used; direction remains negative.
Category decomposition,Player + team-season FE category-onset LPM,announced_tv_primary,latest_pre_tip,vague_onset_frozen,1.591227900187189,0.8840843062982736,-0.1415773401574272,3.3240331405318053,0.0718827612308708,0.1437655224617417,180695,,secondary category analysis,Category-decomposition LPM with BH correction across four onset categories.
Category decomposition,Player + team-season FE category-onset LPM,announced_tv_primary,latest_pre_tip,specific_onset_frozen,0.5606547371406407,0.610930958003516,-0.6367699405462507,1.7580794148275318,0.3587730358601375,0.4783640478135167,180695,,secondary category analysis,Category-decomposition LPM with BH correction across four onset categories.
Category decomposition,Player + team-season FE category-onset LPM,announced_tv_primary,latest_pre_tip,explicit_rest_onset_frozen,0.6178147570540962,0.2476731131641555,0.1323754552523512,1.103254058855841,0.0126143083871094,0.0504572335484378,180695,,secondary category analysis,Sparse/floor-effect warning; inspect raw eight cells before substantive interpretation.
Category decomposition,Player + team-season FE category-onset LPM,announced_tv_primary,latest_pre_tip,other_absence_onset_frozen,0.3795588612963895,0.6665182527824051,-0.9268169141571242,1.6859346367499035,0.5690405711514235,0.5690405711514235,180695,,secondary category analysis,Category-decomposition LPM with BH correction across four onset categories.
Category decomposition,Player + team-season FE category-onset LPM,tv_harmonized_linear,latest_pre_tip,vague_onset_frozen,1.0155686311999348,0.8930006476249506,-0.7347126381449683,2.7658499005448376,0.2554320845736934,0.5108641691473867,180695,,secondary category analysis,Category-decomposition LPM with BH correction across four onset categories.
Category decomposition,Player + team-season FE category-onset LPM,tv_harmonized_linear,latest_pre_tip,specific_onset_frozen,0.1093683368105746,0.6053659532688754,-1.077148931596421,1.295885605217571,0.8566306663444323,0.9364213905104758,180695,,secondary category analysis,Category-decomposition LPM with BH correction across four onset categories.
Category decomposition,Player + team-season FE category-onset LPM,tv_harmonized_linear,latest_pre_tip,explicit_rest_onset_frozen,0.7026150560244474,0.2476935535082057,0.2171356911483642,1.1880944209005306,0.004559236072033,0.0182369442881323,180695,,secondary category analysis,Sparse/floor-effect warning; inspect raw eight cells before substantive interpretation.
Category decomposition,Player + team-season FE category-onset LPM,tv_harmonized_linear,latest_pre_tip,other_absence_onset_frozen,-0.0528954068228451,0.6631115966935219,-1.352594136342148,1.246803322696458,0.9364213905104758,0.9364213905104758,180695,,secondary category analysis,Category-decomposition LPM with BH correction across four onset categories.
Predeclared heterogeneity,back_to_back,announced_tv_primary,latest_pre_tip,difference_in_DDD_H1_minus_H0,-5.483515556444701,5.188156562340388,,,0.2905437783680635,0.3926644476472738,180695,,predeclared heterogeneity,No statistically detectable heterogeneity after BH adjustment.
Predeclared heterogeneity,back_to_back,tv_harmonized_linear,latest_pre_tip,difference_in_DDD_H1_minus_H0,-6.246869654135699,5.098210728119214,,,0.2204598407536639,0.4409196815073279,180695,,predeclared heterogeneity,No statistically detectable heterogeneity after BH adjustment.
Predeclared heterogeneity,weak_opponent,announced_tv_primary,latest_pre_tip,difference_in_DDD_H1_minus_H0,1.6331521883574445,3.901715713431763,,,0.6755283496681723,0.6755283496681723,180695,,predeclared heterogeneity,No statistically detectable heterogeneity after BH adjustment.
Predeclared heterogeneity,weak_opponent,tv_harmonized_linear,latest_pre_tip,difference_in_DDD_H1_minus_H0,3.50841947194626,3.9753772987813822,,,0.3774862196440078,0.5033149595253438,180695,,predeclared heterogeneity,No statistically detectable heterogeneity after BH adjustment.
Predeclared heterogeneity,high_recent_workload,announced_tv_primary,latest_pre_tip,difference_in_DDD_H1_minus_H0,3.6388731883517296,2.8712219270197363,,,0.2050264254037445,0.3926644476472738,139535,,predeclared heterogeneity,No statistically detectable heterogeneity after BH adjustment.
Predeclared heterogeneity,high_recent_workload,tv_harmonized_linear,latest_pre_tip,difference_in_DDD_H1_minus_H0,4.126030649143901,2.8703475980722786,,,0.1505852739582738,0.4409196815073279,139535,,predeclared heterogeneity,No statistically detectable heterogeneity after BH adjustment.
Predeclared heterogeneity,near_65_threshold,announced_tv_primary,latest_pre_tip,difference_in_DDD_H1_minus_H0,5.330486085177187,5.084864246044677,,,0.2944983357354553,0.3926644476472738,22443,,predeclared heterogeneity,No statistically detectable heterogeneity after BH adjustment.
Predeclared heterogeneity,near_65_threshold,tv_harmonized_linear,latest_pre_tip,difference_in_DDD_H1_minus_H0,2.1431069352177583,5.054613281980799,,,0.6715728970565941,0.6715728970565941,22443,,predeclared heterogeneity,No statistically detectable heterogeneity after BH adjustment.
